Date,Value
2024-01-01,100
2024-01-02,102
2024-01-03,101
2024-01-04,103
2024-01-05,105
2024-01-06,104
2024-01-07,107
2024-01-08,109
2024-01-09,108
2024-01-10,110
2024-01-11,112
2024-01-12,111
2024-01-13,115
2024-01-14,118
2024-01-15,120
2024-01-16,122
2024-01-17,121
2024-01-18,124
2024-01-19,127
2024-01-20,129
2024-01-21,131
2024-01-22,133
2024-01-23,132
2024-01-24,135
2024-01-25,137
2024-01-26,139
2024-01-27,140
2024-01-28,142
2024-01-29,144
2024-01-30,145
2024-01-31,147
2024-02-01,149
2024-02-02,150
2024-02-03,153
2024-02-04,155
2024-02-05,156
2024-02-06,158
2024-02-07,160
2024-02-08,161
2024-02-09,163
2024-02-10,165
2024-02-11,166
2024-02-12,168
2024-02-13,169
2024-02-14,171
2024-02-15,173
2024-02-16,174
2024-02-17,176
2024-02-18,178
2024-02-19,180
2024-02-20,182

